====================================================================================================
性能分析报告: Module3
生成时间: 2026-01-05 23:48:43
====================================================================================================

【按累积时间排序 - 前30个最耗时函数】
----------------------------------------------------------------------------------------------------
         24051732 function calls (23150131 primitive calls) in 19.087 seconds

   Ordered by: cumulative time
   List reduced from 1893 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      883    0.004    0.000   64.215    0.073 C:\Python313\Lib\concurrent\futures\_base.py:199(as_completed)
      372    0.002    0.000   58.767    0.158 C:\Python313\Lib\threading.py:641(wait)
     1139    0.004    0.000   58.053    0.051 C:\Python313\Lib\threading.py:327(wait)
 14771/78    0.037    0.000   33.796    0.433 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\pandas\core\arraylike.py:68(__and__)
  889/200    0.009    0.000   30.294    0.151 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\pandas\core\series.py:4620(map)
 14771/78    0.057    0.000   28.327    0.363 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\pandas\core\series.py:6123(_logical_method)
  4560/71    0.020    0.000   27.303    0.385 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\pandas\core\arraylike.py:50(__le__)
 14771/78    0.064    0.000   22.139    0.284 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\pandas\core\ops\array_ops.py:393(logical_op)
  4560/71    0.028    0.000   21.759    0.306 {built-in method _operator.le}
29542/12871    0.025    0.000   20.985    0.002 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\pandas\core\ops\array_ops.py:410(fill_bool)
44015/113    0.101    0.000   20.637    0.183 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\pandas\core\ops\common.py:62(new_method)
5615/4559    0.007    0.000   19.305    0.004 {method 'acquire' of '_thread.lock' objects}
        1    0.002    0.002   19.087   19.087 C:\Users\25936\Desktop\test\chainsight\src\modules\module3.py:1264(run_integrated_mode)
  4560/51    0.022    0.000   18.428    0.361 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\pandas\core\arraylike.py:58(__ge__)
  915/226    0.004    0.000   17.012    0.075 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\pandas\core\base.py:891(_map_values)
14771/131    0.029    0.000   16.906    0.129 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\pandas\core\ops\array_ops.py:352(na_logical_op)
  889/200    0.006    0.000   16.617    0.083 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\pandas\core\arrays\_mixins.py:78(method)
  889/200    0.009    0.000   16.193    0.081 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\pandas\core\arrays\datetimelike.py:736(map)
        1    0.003    0.003   15.014   15.014 C:\Users\25936\Desktop\test\chainsight\src\modules\module3.py:839(run_mrp_layered_simulation_daily)
        3    0.000    0.000   14.893    4.964 C:\Python313\Lib\concurrent\futures\_base.py:646(__exit__)
        3    0.000    0.000   14.893    4.964 C:\Python313\Lib\concurrent\futures\thread.py:220(shutdown)
       90    0.000    0.000   14.892    0.165 C:\Python313\Lib\threading.py:1056(join)
       90    0.004    0.000   14.892    0.165 {method 'join' of '_thread._ThreadHandle' objects}
     90/3    0.001    0.000   14.888    4.963 C:\Python313\Lib\threading.py:998(_bootstrap)
     90/3    0.001    0.000   14.888    4.963 C:\Python313\Lib\threading.py:1025(_bootstrap_inner)
   202/27    0.005    0.000   14.888    0.551 {method 'get' of '_queue.SimpleQueue' objects}
     90/3    0.001    0.000   14.888    4.963 C:\Python313\Lib\threading.py:981(run)
     90/3    0.001    0.000   14.888    4.963 C:\Python313\Lib\concurrent\futures\thread.py:70(_worker)
19242/1152    0.023    0.000   14.840    0.013 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\pandas\core\arraylike.py:38(__eq__)
    880/3    0.015    0.000   14.346    4.782 C:\Python313\Lib\concurrent\futures\thread.py:54(run)




【按调用次数排序 - 前30个最频繁调用函数】
----------------------------------------------------------------------------------------------------
         24051732 function calls (23150131 primitive calls) in 19.087 seconds

   Ordered by: call count
   List reduced from 1893 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4673320/4597809    0.762    0.000    1.158    0.000 {built-in method builtins.isinstance}
1287922/1285254    0.186    0.000    0.192    0.000 {built-in method builtins.getattr}
1229206/837156    0.257    0.000    0.363    0.000 {built-in method builtins.len}
502673/500561    0.166    0.000    0.381    0.000 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
502673/500757    0.144    0.000    0.208    0.000 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\pandas\core\dtypes\generic.py:37(_check)
   402691    0.062    0.000    0.062    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
   387640    0.035    0.000    0.035    0.000 C:\Users\25936\Desktop\test\chainsight\src\modules\module3.py:1116(<genexpr>)
   375288    0.051    0.000    0.051    0.000 {method 'popleft' of 'collections.deque' objects}
   375201    0.165    0.000    0.254    0.000 C:\Python313\Lib\xml\etree\ElementTree.py:1309(read_events)
374776/374773    0.077    0.000    0.657    0.000 C:\Python313\Lib\xml\etree\ElementTree.py:1233(iterator)
   321091    0.064    0.000    0.064    0.000 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\openpyxl\descriptors\base.py:24(__set__)
   295680    0.024    0.000    0.024    0.000 C:\Users\25936\Desktop\test\chainsight\.venv\Lib\site-packages\openpyxl\cell\read_only.py:108(value)
   293601    0.067    0.000    0.085    0.000 {built-in method builtins.hasattr}
